iter	Passed	Remaining
401	17612	8674
402	17657	8631
403	17702	8588
404	17750	8546
405	17797	8504
406	17842	8460
407	17888	8418
408	17936	8376
409	17982	8333
410	18027	8290
411	18073	8247
412	18119	8204
413	18164	8160
414	18207	8116
415	18251	8072
416	18296	8029
417	18340	7985
418	18383	7941
419	18427	7897
420	18470	7853
421	18516	7810
422	18576	7772
423	18624	7730
424	18673	7689
425	18722	7647
426	18769	7604
427	18816	7561
428	18861	7518
429	18908	7475
430	18953	7431
431	18997	7388
432	19042	7344
433	19087	7300
434	19132	7257
435	19176	7213
436	19221	7169
437	19265	7125
438	19309	7081
439	19355	7038
440	19398	6994
441	19444	6950
442	19489	6907
443	19532	6862
444	19576	6818
445	19620	6774
446	19666	6731
447	19713	6688
448	19757	6644
449	19801	6600
450	19845	6556
451	19890	6512
452	19933	6468
453	19974	6423
454	20014	6378
455	20055	6333
456	20096	6288
457	20137	6243
458	20176	6198
459	20217	6153
460	20257	6108
461	20296	6062
462	20336	6017
463	20374	5971
464	20413	5926
465	20452	5881
466	20490	5835
467	20529	5790
468	20568	5745
469	20607	5699
470	20646	5654
471	20685	5609
472	20725	5564
473	20764	5519
474	20804	5474
475	20843	5429
476	20881	5384
477	20920	5339
478	20959	5294
479	20998	5249
480	21037	5204
481	21076	5159
482	21115	5114
483	21153	5069
484	21192	5024
485	21230	4980
486	21269	4935
487	21306	4890
488	21345	4845
489	21383	4800
490	21421	4755
491	21462	4711
492	21502	4666
493	21543	4622
494	21581	4577
495	21621	4533
496	21660	4488
497	21700	4444
498	21739	4400
499	21777	4355
500	21816	4311
501	21857	4267
502	21897	4222
503	21936	4178
504	21975	4134
505	22014	4089
506	22052	4045
507	22091	4000
508	22130	3956
509	22168	3912
510	22209	3868
511	22247	3823
512	22285	3779
513	22324	3735
514	22363	3690
515	22401	3646
516	22439	3602
517	22479	3558
518	22517	3514
519	22555	3470
520	22593	3425
521	22631	3381
522	22670	3337
523	22708	3293
524	22751	3250
525	22791	3206
526	22830	3162
527	22869	3118
528	22909	3074
529	22948	3030
530	22988	2987
531	23028	2943
532	23068	2899
533	23107	2855
534	23146	2812
535	23184	2768
536	23222	2724
537	23260	2680
538	23299	2636
539	23338	2593
540	23376	2549
541	23416	2505
542	23455	2462
543	23497	2418
544	23538	2375
545	23577	2331
546	23616	2288
547	23656	2244
548	23695	2201
549	23739	2158
550	23779	2114
551	23819	2071
552	23859	2027
553	23900	1984
554	23939	1941
555	23978	1897
556	24017	1854
557	24056	1810
558	24096	1767
559	24136	1724
560	24176	1680
561	24216	1637
562	24256	1594
563	24294	1550
564	24333	1507
565	24372	1464
566	24410	1420
567	24449	1377
568	24488	1334
569	24530	1291
570	24572	1247
571	24612	1204
572	24653	1161
573	24691	1118
574	24730	1075
575	24769	1032
576	24807	988
577	24846	945
578	24886	902
579	24924	859
580	24963	816
581	25001	773
582	25040	730
583	25078	687
584	25117	644
585	25155	600
586	25194	557
587	25232	514
588	25269	471
589	25317	429
590	25355	386
591	25394	343
592	25433	300
593	25473	257
594	25513	214
595	25551	171
596	25592	128
597	25632	85
598	25670	42
599	25708	0
